ID,发布标题,描述,主分类,子分类,三级分类,商品名称,商品进货价,商品出货价,库存数量,图片,
XS001,范思哲粉钻粉水晶,30ml,化妆品,香水,范思哲,范思哲粉钻粉水晶,163.00,195.00,999,\pic\XS001,
XS002,范思哲粉钻粉水晶,50ml,化妆品,香水,范思哲,范思哲粉钻粉水晶,210.00,238.00,999,\pic\XS001,
XS003,范思哲粉钻粉水晶,90ml,化妆品,香水,范思哲,范思哲粉钻粉水晶,265.00,298.00,999,\pic\XS001,
XS004,范思哲极致粉水晶,30ml,化妆品,香水,范思哲,范思哲极致粉水晶,185.00,221.00,999,\pic\XS001,
XS005,范思哲极致水晶粉钻,50ml,化妆品,香水,范思哲,范思哲极致水晶粉钻,230.00,265.00,999,\pic\XS001,
XS006,范思哲黑钻黑水晶,30ml,化妆品,香水,范思哲,范思哲黑钻黑水晶,190.00,223.00,999,\pic\XS001,
XS007,范思哲黑钻黑水晶,50ml,化妆品,香水,范思哲,范思哲黑钻黑水晶,225.00,255.00,999,\pic\XS001,
XS008,范思哲黄钻黄水晶,90ml,化妆品,香水,范思哲,范思哲黄钻黄水晶,265.00,289.00,999,\pic\XS001,
XS009,范思哲黄钻黄水晶,50ml,化妆品,香水,范思哲,范思哲黄钻黄水晶,235.00,278.00,999,\pic\XS001,
XS010,范思哲黄钻黄水晶,30ml,化妆品,香水,范思哲,范思哲黄钻黄水晶,190.00,232.00,999,\pic\XS001,
XS011,范思哲爱神,30ml,化妆品,香水,范思哲,范思哲爱神,190.00,223.00,999,\pic\XS001,
XS012,范思哲爱神,50ml,化妆品,香水,范思哲,范思哲爱神,240.00,273.00,999,\pic\XS001,
XS013,范思哲爱神,100ml,化妆品,香水,范思哲,范思哲爱神,280.00,312.00,999,\pic\XS001,
XS014,范思哲同名男士香,100ml,化妆品,香水,范思哲,范思哲同名男士香,260.00,315.00,999,\pic\XS001,
XS015,范思哲同名男士香,50ml,化妆品,香水,范思哲,范思哲同名男士香,200.00,233.00,999,\pic\XS001,
XS016,范思哲同名男士香,30ml,化妆品,香水,范思哲,范思哲同名男士香,143.00,179.00,999,\pic\XS001,
