ID,发布标题,描述,主分类,子分类,三级分类,商品名称,商品进货价,商品出货价,库存数量,图片
RBGJ001,资生堂悦薇眼霜国际版,资生堂悦薇眼霜新版15ml,化妆品,日本国际版美妆,悦薇,资生堂悦薇眼霜国际版,343,355,999,\pic\RBGJ001
RBGJ002,资生堂悦薇眼霜国际版,资生堂悦薇眼霜老版15ml,化妆品,日本国际版美妆,悦薇,资生堂悦薇眼霜国际版,345,358,999,\pic\RBGJ001
RBGJ003,资生堂悦薇眼膜 ,资生堂悦薇眼膜12片国际版,化妆品,日本国际版美妆,悦薇,资生堂悦薇眼膜 ,258,265,999,\pic\RBGJ001
RBGJ004,资生堂悦薇水乳清爽本国际版,资生堂悦薇水乳清爽（少）,化妆品,日本国际版美妆,悦薇,资生堂悦薇水乳清爽本国际版,833,883,999,\pic\RBGJ001
RBGJ005,资生堂悦薇水乳滋润本国际版 ,资生堂悦薇水乳滋润（新）,化妆品,日本国际版美妆,悦薇,资生堂悦薇水乳滋润本国际版 ,825,875,999,\pic\RBGJ001
RBGJ006,怡丽丝尔大眼霜22g国际版,怡丽丝尔大眼霜22g,化妆品,日本国际版美妆,怡丽丝尔,怡丽丝尔大眼霜22g国际版,355,375,999,\pic\RBGJ001
RBGJ007,怡丽丝尔小眼霜15g 国际版,怡丽丝尔小眼霜15g,化妆品,日本国际版美妆,怡丽丝尔,怡丽丝尔小眼霜15g 国际版,230,270,999,\pic\RBGJ001
RBGJ008,怡丽丝尔金管防晒国际版,怡丽丝尔金管防晒,化妆品,日本国际版美妆,怡丽丝尔,怡丽丝尔金管防晒国际版,135,147,999,\pic\RBGJ001
RBGJ009,怡丽丝尔银管防晒国际版,怡丽丝尔银管防晒,化妆品,日本国际版美妆,怡丽丝尔,怡丽丝尔银管防晒国际版,138,158,999,\pic\RBGJ001
RBGJ010,怡丽丝尔平衡水乳一号国际版,怡丽丝尔平衡水乳一号,化妆品,日本国际版美妆,怡丽丝尔,怡丽丝尔平衡水乳一号国际版,265,278,999,\pic\RBGJ001
RBGJ011,cpb长管隔离新版国际,cpb长管隔离新版,化妆品,日本国际版美妆,cpb,cpb长管隔离新版国际,280,310,999,\pic\RBGJ001
RBGJ012,sk2神仙水国际版,230ml韩免对装,化妆品,日本国际版美妆,SKⅡ,sk2神仙水国际版,720,760,999,\pic\RBGJ001
RBGJ013,sk2洗面奶 国际版,sk2洗面奶韩免20年对装,化妆品,日本国际版美妆,SKⅡ,sk2洗面奶 国际版,260,275,999,\pic\RBGJ001
RBGJ014,sk神仙水国际版,230ml普通,化妆品,日本国际版美妆,SKⅡ,sk神仙水国际版,475,530,999,\pic\RBGJ001
RBGJ015,sk小灯泡精华,50ml,化妆品,日本国际版美妆,SKⅡ,sk小灯泡精华,725,755,999,\pic\RBGJ001
RBGJ016,sk大红滋润清爽面霜,80g老款,化妆品,日本国际版美妆,SKⅡ,sk大红滋润清爽面霜,790,815,999,\pic\RBGJ001
RBGJ017,sk大红滋润清爽面霜,80g新款,化妆品,日本国际版美妆,SKⅡ,sk大红滋润清爽面霜,780,810,999,\pic\RBGJ001
RBGJ018,sk神仙水奥运套盒老款,,化妆品,日本国际版美妆,SKⅡ,sk神仙水奥运套盒老款,900,935,999,\pic\RBGJ001
RBGJ019,sk神仙水奥运套盒新款,,化妆品,日本国际版美妆,SKⅡ,sk神仙水奥运套盒新款,905,930,999,\pic\RBGJ001
RBGJ020,sk大红面霜套盒,,化妆品,日本国际版美妆,SKⅡ,sk大红面霜套盒,910,935,999,\pic\RBGJ001
RBGJ021,sk小鸟盒（内瓶神仙水）,,化妆品,日本国际版美妆,SKⅡ,sk小鸟盒（内瓶神仙水）,1045,1080,999,\pic\RBGJ001
RBGJ022,sk洁面,120ml,化妆品,日本国际版美妆,SKⅡ,sk洁面,235,255,999,\pic\RBGJ001
RBGJ023,sk小银瓶,50ml,化妆品,日本国际版美妆,SKⅡ,sk小银瓶,265,287,999,\pic\RBGJ001
RBGJ024,sk小红瓶,50ml,化妆品,日本国际版美妆,SKⅡ,sk小红瓶,670,698,999,\pic\RBGJ001
RBGJ025,sk前男友面膜10片,,化妆品,日本国际版美妆,SKⅡ,sk前男友面膜10片,600,625,999,\pic\RBGJ001
RBGJ026,cpb滋润洗面奶,,化妆品,日本国际版美妆,cpb,cpb滋润洗面奶,510,535,999,\pic\RBGJ001
